Severity	id		Headline							Build

5-Enhancement	JG200000540	nhttpd: new: /y/cache-info view and clear cache			nhttpd 3.0.5
5-Enhancement	JG200000553	Live: Support for Non-compatible HTTP1.1-Clients like JtG-Servernhttpd 3.0.5
5-Enhancement	JG200000548	nhttpd: new hooks for Upload handling	n			httpd 3.0.5
5-Enhancement	JG200000549	nhttpd: mod_auth new Base64 algorism				nhttpd 3.0.5
5-Enhancement	JG200000545	nhttpd: upload POST works with SSL now				nhttpd 3.0.5
5-Enhancement	JG200000528	nhttpd: Autentication: new implemented				nhttpd 3.0.5
5-Enhancement	JG200000538	nhttpd: yParser Cache						nhttpd 3.0.5
5-Enhancement	JG200000544	nhttpd: new format of nhttpd.conf				nhttpd 3.0.5
5-Enhancement	JG200000541	nhttpd: new /y/server-config					nhttpd 3.0.5
5-Enhancement	JG200000550	nhttpd: add SSL support						nhttpd 3.0.5
5-Enhancement	JG200000542	nhttpd: new module mod_cache for caching dynamic content	nhttpd 3.0.5
5-Enhancement	JG200000543	nhttpd: new module mod_weblog CLF and ELF logging		nhttpd 3.0.5
5-Enhancement	JG200000547	nhttpd: more Features for HTTP1.1 support			nhttpd 3.0.5
5-Enhancement	JG200000546	nhttpd: new Socket multiplexing for multi-threading		nhttpd 3.0.5
5-Enhancement	JG200000536	nhttpd: Upload Progress ..					nhttpd 3.0.5

5-Enhancement	JG200000552	Settings: Support for new nhttpd.conf Format			R2.2.0
5-Enhancement	JG200000530	nhttpd: Webserver (yhhtpd) rewritten				nhttpd 3.0.0
5-Enhancement	JG200000529	nhttpd: split nhttpd in yhttpd_core, yhttpd_mods, neutrinoAPI	nhttpd 3.0.0
5-Enhancement	JG200000527	Bouquet: Bouquet-Editor moved to tools				R2.1.0
5-Enhancement	JG200000523	Bouquet-Editor: new implemented					R2.1.0
5-Enhancement	JG200000526	Bouquet: EPG-List: new implemented				R2.1.0
5-Enhancement	JG200000534	Boxcontrol: Use /control/standby to determine standby status	R2.1.0
5-Enhancement	JG200000440	Timer: ANNOUNCE_TIME_1=-120 at Rec from EPG ..			R2.1.0
5-Enhancement	JG200000524	Timer: TimerList new implemented				R2.1.0
5-Enhancement	JG200000531	Timer: use RecordingSafty in Timer-Prog				R2.1.0
5-Enhancement	JG200000525	Timer: add/modify Timer: new implemented			R2.1.0
4-Minor		JG200000522	Tools: Flash fix reboot button					R2.1.0

5-Enhancement	JG200000511	GUI: disable AutoMount if ManagementIP does not match		R2.0.2
4-Minor		JG200000519	Live: VLC Snapshot with IE works again				R2.0.2
5-Enhancement	JG200000512	Live: fix: Fullscreen-Button (IE) does not  work		R2.0.2
5-Enhancement	JG200000518	Live: add EPG-Button for Popup					R2.0.2
3-Average	JG200000517	Record: fixed: Record without transcoding works again		R2.0.2
5-Enhancement	JG200000514	Settings: Diverse: add EPG-Settings				R2.0.2
5-Enhancement	JG200000513	Settings: Diverse: add Virtual zap				R2.0.2

3-Average	JG200000504	fix: call dboxshot correctly if installed in /var/bin (in Remote OSD)	R2.0.1
3-Average	JG200000506	Live: fixed Problems switching channels in LiveTV/Radio		R2.0.1
5-Enhancement	JG200000507	Live: MiniEPG only on demand					R2.0.1

5-Enhancement	JG200000478	Boxcontrol: OSD Screenshot: Support for dboxshot		R2.0.0
5-Enhancement	JG200000480	Boxcontrol: Control: Live lock / unlock	R2.0.0
5-Enhancement	JG200000482	Boxcontrol: Control: new: Standby Status			R2.0.0
5-Enhancement	JG200000483	EPG: Link to IMDB						R2.0.0
5-Enhancement	JG200000498	Boxcontrol: add SPTS Status					R2.0.0
5-Enhancement	JG200000497	Boxcontrol: New RC-Imake: Nokia-Remote				R2.0.0
5-Enhancement	JG200000494	Boxcontrol: Control: Add optical Output on/off/status		R2.0.0
4-Minor		JG200000392	GUI: initialize Volumen correctly ..				R2.0.0
5-Enhancement	JG200000331	GUI: all Pages W3C XHTML 1.0 conform ..				R2.0.0
5-Enhancement	JG200000465	GUI: new volumen control					R2.0.0
5-Enhancement	JG200000459	GUI: new yWeb 2.0 Layout					R2.0.0
5-Enhancement	JG200000254	GUI: Show channel-logos (if mounted)				R2.0.0
5-Enhancement	JG200000455	GUI: Help: New Item to Wiki					R2.0.0
5-Enhancement	JG200000449	GUI: show actual time in main menu				R2.0.0
5-Enhancement	JG200000439	GUI: show custom text in Menue to identify box (if you have several boxes)	R2.0.0
5-Enhancement	JG200000468	Info: add external Links for getting help			R2.0.0
5-Enhancement	JG200000473	Live: Radio-Streaming with VLC (0.8.5) New!			R2.0.0
5-Enhancement	JG200000500	Live: Transcode: own dialogue and more settings			R2.0.0
5-Enhancement	JG200000464	Live: Mini EPG for actual channel				R2.0.0
5-Enhancement	JG200000484	Live: dont show bouquet if set to hidden			R2.0.0
